      alt[km]    geometric factor
 7.885000E+02         8.755810E-01
 7.895000E+02         8.755868E-01
 7.905000E+02         8.755925E-01
 7.915000E+02         8.755982E-01
 7.925000E+02         8.756038E-01
 7.935000E+02         8.756094E-01
 7.945000E+02         8.756150E-01
 7.955000E+02         8.756205E-01
 7.965000E+02         8.756260E-01
 7.975000E+02         8.756314E-01
 7.985000E+02         8.756368E-01
 7.995000E+02         8.756422E-01
 8.005000E+02         8.756475E-01
 8.015000E+02         8.756528E-01
 8.025000E+02         8.756580E-01
 8.035000E+02         8.756632E-01
 8.045000E+02         8.756684E-01
 8.055000E+02         8.756735E-01
 8.065000E+02         8.756786E-01
 8.075000E+02         8.756837E-01
 8.085000E+02         8.756887E-01
 8.095000E+02         8.756937E-01
 8.105000E+02         8.756987E-01
 8.115000E+02         8.757036E-01
 8.125000E+02         8.757084E-01
 8.135000E+02         8.757133E-01
 8.145000E+02         8.757181E-01
 8.155000E+02         8.757229E-01
 8.165000E+02         8.757276E-01
 8.175000E+02         8.757323E-01
 8.185000E+02         8.757370E-01
